Price,Open,High,Low,Vol.,Change %
417.1,406.4,421.5,405.0,90320.0,2.64
421.4,417.1,425.5,414.8,77350.0,1.02
420.0,421.4,424.3,416.4,52240.0,-0.34
440.1,420.0,442.7,419.5,111630.0,4.78
437.9,440.1,447.6,425.5,100500.0,-0.50
437.8,437.9,440.2,431.3,56010.0,-0.02
419.9,437.8,440.8,414.4,93720.0,-4.09
422.7,419.9,425.2,410.4,66510.0,0.67
423.5,422.7,427.2,417.5,53540.0,0.18
427.3,423.5,427.6,419.1,53210.0,0.91
431.3,427.3,434.1,427.3,42790.0,0.93
432.5,431.3,435.6,421.2,50850.0,0.27
436.2,432.5,441.3,429.8,68770.0,0.86
434.0,436.2,439.0,428.5,67460.0,-0.50
425.4,434.0,435.9,423.9,57750.0,-2.00
419.6,425.4,425.8,414.9,78900.0,-1.36
409.5,419.6,423.4,407.2,75270.0,-2.40
399.0,409.5,410.1,386.9,129150.0,-2.56
406.0,399.0,412.0,393.1,62590.0,1.74
414.9,406.0,416.6,402.0,61770.0,2.19
411.9,414.9,416.7,408.4,53770.0,-0.72
412.8,411.9,414.9,408.9,50920.0,0.21
415.8,412.8,417.5,410.3,55740.0,0.74
419.1,415.8,422.4,415.1,60630.0,0.79
410.4,419.1,420.7,407.0,59640.0,-2.09
412.4,410.4,415.9,409.6,34980.0,0.50
414.3,412.4,416.1,411.2,49330.0,0.46
415.1,414.3,417.4,412.3,48600.0,0.20
415.9,415.1,417.0,413.3,44540.0,0.19
418.2,415.9,419.6,415.3,43820.0,0.54
408.2,418.2,418.6,402.5,66070.0,-2.39
408.7,408.2,410.5,402.1,37000.0,0.13
411.5,408.7,413.5,407.2,30540.0,0.69
411.1,411.5,413.1,407.3,43160.0,-0.10
416.2,411.1,417.9,410.8,49080.0,1.24
417.0,416.2,419.6,414.2,40610.0,0.19
414.7,417.0,417.7,412.9,38830.0,-0.54
415.7,414.7,417.3,412.4,34590.0,0.23
416.5,415.7,417.7,413.9,28060.0,0.19
424.6,416.5,427.4,415.5,61720.0,1.94
422.2,424.6,425.4,419.7,43450.0,-0.56
415.0,422.2,424.5,406.4,69110.0,-1.71
412.4,415.0,416.2,408.4,43280.0,-0.62
415.7,412.4,417.2,411.5,41840.0,0.78
415.6,415.7,416.9,412.8,38220.0,0.00
418.5,415.6,420.1,415.1,31310.0,0.69
419.1,418.5,420.2,417.0,22800.0,0.13
419.3,419.1,420.4,416.2,33440.0,0.06
422.1,419.3,423.7,418.0,40890.0,0.65
421.3,422.1,422.8,419.5,32670.0,-0.19
420.1,421.3,422.0,417.9,36060.0,-0.27
417.7,420.1,423.5,415.5,46950.0,-0.58
418.0,417.7,418.9,412.4,29430.0,0.09
420.3,418.0,421.6,416.7,23300.0,0.53
421.4,420.3,422.4,418.1,36390.0,0.28
424.7,421.4,426.7,420.7,57710.0,0.79
423.5,424.7,426.6,421.4,38090.0,-0.30
424.0,423.5,425.4,421.8,30660.0,0.13
428.7,424.0,429.5,423.3,54120.0,1.10
430.0,428.7,432.0,426.8,29020.0,0.32
426.3,430.0,430.6,423.8,25590.0,-0.88
427.7,426.3,429.1,424.4,32580.0,0.34
434.9,427.7,436.1,426.8,45680.0,1.69
441.2,434.9,442.9,432.5,74360.0,1.43
449.3,441.2,450.8,439.5,63130.0,1.85
445.3,449.3,450.2,441.9,49710.0,-0.90
450.1,445.3,451.5,443.1,42360.0,1.08
457.6,450.1,461.8,447.9,74430.0,1.66
461.7,457.6,466.2,451.8,81660.0,0.91
466.0,461.7,468.9,459.2,67560.0,0.92
447.0,466.0,467.9,444.6,90810.0,-4.08
448.5,447.0,450.1,433.9,81940.0,0.33
455.0,448.5,456.3,445.2,44850.0,1.45
448.5,455.0,456.9,446.6,35310.0,-1.42
452.2,448.5,454.2,447.5,21750.0,0.83
444.2,452.2,453.9,440.2,73850.0,-1.78
450.3,444.2,451.5,441.5,49750.0,1.37
445.8,450.3,450.9,444.2,39440.0,-0.99
448.1,445.8,449.2,444.4,41890.0,0.51
459.6,448.1,461.5,445.7,68430.0,2.56
458.5,459.6,460.6,454.6,30970.0,-0.24
457.9,458.5,460.2,454.9,27600.0,-0.13
460.4,457.9,464.2,455.4,48420.0,0.56
449.4,460.4,462.1,446.8,59990.0,-2.41
452.5,449.4,456.1,449.6,39970.0,0.70
454.4,452.5,455.3,448.4,49190.0,0.43
455.4,454.4,457.2,451.5,32390.0,0.22
456.4,455.4,457.7,453.6,20360.0,0.23
458.1,456.4,460.3,455.0,21200.0,0.37
454.9,458.1,459.6,450.7,36600.0,-0.71
453.3,454.9,456.3,451.7,34630.0,-0.36
454.2,453.3,456.6,452.4,32610.0,0.21
442.7,454.2,455.2,441.1,59390.0,-2.55
442.1,442.7,447.8,435.4,48430.0,-0.12
443.6,442.1,445.2,439.7,23000.0,0.35
439.6,443.6,444.2,436.9,28740.0,-0.91
443.7,439.6,445.0,438.2,35900.0,0.93
446.1,443.7,447.9,442.0,33220.0,0.55
449.8,446.1,451.2,445.4,37720.0,0.82
453.3,449.8,454.3,447.7,37720.0,0.78
474.0,453.3,479.2,452.7,135680.0,4.58
524.2,474.0,531.8,467.0,150170.0,10.58
516.0,524.2,548.0,493.2,152570.0,-1.56
532.3,516.0,544.2,512.8,77530.0,3.14
528.9,532.3,546.9,513.2,114080.0,-0.63
537.4,528.9,542.3,521.3,72410.0,1.60
537.1,537.4,541.5,530.5,52880.0,-0.06
567.0,537.1,573.7,534.3,106250.0,5.57
572.0,567.0,592.7,560.9,87410.0,0.87
574.9,572.0,583.6,567.8,64519.99999999999,0.52
583.6,574.9,586.7,571.7,63680.0,1.51
575.6,583.6,591.3,543.6,84690.0,-1.37
580.5,575.6,582.4,567.8,49600.0,0.86
574.7,580.5,580.7,569.3,48610.0,-1.00
577.9,574.7,579.3,571.1,45500.0,0.56
591.6,577.9,592.6,576.3,42220.0,2.37
666.5,591.6,683.8,592.8,217380.0,12.67
700.1,666.5,718.2,652.8,216730.0,5.03
685.1,700.1,702.5,654.7,135650.0,-2.13
690.8,685.1,695.1,670.5,78620.0,0.82
761.2,690.8,769.7,687.4,229570.0,10.20
743.9,761.2,771.9,704.2,215870.0,-2.27
